feature,importance
sttl,0.7091646419433156
ct_srv_dst,0.08865092216634478
sbytes,0.07170444506146711
smean,0.05047017457207106
ct_dst_src_ltm,0.01850899922021335
dmean,0.008276238398078025
sloss,0.006505664732721148
dur,0.004838715717207004
dbytes,0.004738124978522225
tcprtt,0.004728949072139244
dpkts,0.0029890470031823306
rate,0.002988996056332256
sinpkt,0.0026341969860284556
ct_flw_http_mthd,0.0026200162954910676
ct_src_dport_ltm,0.002025736338969318
ct_srv_src,0.001810417384317875
sjit,0.0015680891301898916
service_-,0.0015179666154618958
dinpkt,0.0015042910431222083
sload,0.0014102438884434606
ct_src_ltm,0.0011563190015729389
djit,0.0011548465653119697
ct_dst_sport_ltm,0.0009113638397609704
synack,0.0008052294750696805
proto_udp,0.0007884266047535474
ackdat,0.0007618601932306574
dload,0.0007261044324195209
ct_dst_ltm,0.0006739266737029669
service_ftp,0.0006570249222501998
stcpb,0.0005705517057071574
proto_icmp,0.0005383801255161662
proto_igmp,0.0004866081608425911
dloss,0.00044966835447675716
dtcpb,0.0004060356572750804
service_http,0.00039063149129686973
service_dns,0.0002653978228856838
response_body_len,0.00020480730275501915
state_INT,0.00014852094606745207
spkts,0.0001292964844464511
trans_depth,0.00011783163461278549
service_snmp,1.292002427159754e-06
proto_pim,0.0
proto_sdrp,0.0
proto_secure-vmtp,0.0
proto_sep,0.0
proto_skip,0.0
proto_nvp,0.0
proto_sm,0.0
proto_smp,0.0
proto_scps,0.0
proto_snp,0.0
proto_sprite-rpc,0.0
proto_sps,0.0
proto_srp,0.0
proto_st2,0.0
proto_stp,0.0
proto_sctp,0.0
proto_rtp,0.0
proto_sccopmce,0.0
proto_pup,0.0
proto_pipe,0.0
proto_pgm,0.0
proto_sun-nd,0.0
proto_pnni,0.0
proto_pri-enc,0.0
proto_prm,0.0
proto_pvp,0.0
proto_sat-mon,0.0
proto_qnx,0.0
proto_rdp,0.0
proto_rsvp,0.0
proto_ospf,0.0
proto_rvd,0.0
proto_sat-expak,0.0
proto_ptp,0.0
proto_xnet,0.0
proto_swipe,0.0
proto_xtp,0.0
service_dhcp,0.0
service_ftp-data,0.0
service_irc,0.0
service_pop3,0.0
service_radius,0.0
service_smtp,0.0
service_ssh,0.0
service_ssl,0.0
state_CON,0.0
state_ECO,0.0
state_FIN,0.0
state_PAR,0.0
state_REQ,0.0
state_RST,0.0
state_URN,0.0
proto_zero,0.0
proto_xns-idp,0.0
proto_tcf,0.0
proto_netblt,0.0
proto_tcp,0.0
proto_tlsp,0.0
proto_tp++,0.0
proto_trunk-1,0.0
proto_trunk-2,0.0
proto_ttp,0.0
proto_unas,0.0
proto_uti,0.0
proto_vines,0.0
proto_visa,0.0
proto_vmtp,0.0
proto_vrrp,0.0
proto_wb-expak,0.0
proto_wb-mon,0.0
proto_wsn,0.0
proto_nsfnet-igp,0.0
proto_irtp,0.0
proto_narp,0.0
proto_mux,0.0
proto_chaos,0.0
proto_compaq-peer,0.0
proto_cphb,0.0
proto_cpnx,0.0
proto_crtp,0.0
proto_crudp,0.0
proto_dcn,0.0
proto_ddp,0.0
proto_ddx,0.0
proto_dgp,0.0
proto_egp,0.0
proto_eigrp,0.0
proto_emcon,0.0
proto_encap,0.0
proto_etherip,0.0
proto_fc,0.0
proto_fire,0.0
proto_cftp,0.0
proto_cbt,0.0
proto_br-sat-mon,0.0
proto_3pc,0.0
dttl,0.0
swin,0.0
dwin,0.0
ct_state_ttl,0.0
is_ftp_login,0.0
ct_ftp_cmd,0.0
is_sm_ips_ports,0.0
proto_a/n,0.0
proto_bna,0.0
proto_aes-sp3-d,0.0
proto_any,0.0
proto_argus,0.0
proto_aris,0.0
proto_arp,0.0
proto_ax.25,0.0
proto_bbn-rcc,0.0
proto_ggp,0.0
proto_gmtp,0.0
proto_gre,0.0
proto_larp,0.0
proto_ipv6-route,0.0
proto_ipx-n-ip,0.0
proto_isis,0.0
proto_iso-ip,0.0
proto_iso-tp4,0.0
proto_kryptolan,0.0
proto_l2tp,0.0
proto_leaf-1,0.0
proto_ipv6-no,0.0
proto_leaf-2,0.0
proto_merit-inp,0.0
proto_mfe-nsp,0.0
proto_mhrp,0.0
proto_micp,0.0
proto_mobile,0.0
proto_mtp,0.0
proto_ipv6-opts,0.0
proto_ipv6-frag,0.0
proto_hmp,0.0
proto_igp,0.0
proto_i-nlsp,0.0
proto_iatp,0.0
proto_ib,0.0
proto_idpr,0.0
proto_idpr-cmtp,0.0
proto_idrp,0.0
proto_ifmp,0.0
proto_il,0.0
proto_ipv6,0.0
proto_ip,0.0
proto_ipcomp,0.0
proto_ipcv,0.0
proto_ipip,0.0
proto_iplt,0.0
proto_ipnip,0.0
proto_ippc,0.0
state_no,0.0
